state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,source_file
02,HIMACHAL PRADESH,027,Mandi,00130,Bhadrota,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,027,Mandi,00131,Baldwara,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,027,Mandi,00132,Sundarnagar,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,027,Mandi,00133,Mandi,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,027,Mandi,00134,Aut,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,027,Mandi,00135,Bali Chowki,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,027,Mandi,00136,Thunag,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,027,Mandi,00137,Chachyot,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,027,Mandi,00138,Nihri,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,027,Mandi,00139,Karsog,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,028,Hamirpur,00140,Tira Sujanpur,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,028,Hamirpur,00141,Nadaun,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,028,Hamirpur,00142,Galore,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,028,Hamirpur,00143,Hamirpur,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,028,Hamirpur,00144,Barsar,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,028,Hamirpur,00145,Dhatwal,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,028,Hamirpur,00146,Bhoranj,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,029,Una,00147,Bharwain,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,029,Una,00148,Amb,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,029,Una,00149,Bangana,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,029,Una,00150,Una,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,029,Una,00151,Haroli,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,030,Bilaspur,00152,Ghumarwin,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,030,Bilaspur,00153,Bharari,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,030,Bilaspur,00154,Jhanduta,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,030,Bilaspur,00155,Naina Devi,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,030,Bilaspur,00156,Bilaspur Sadar,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,030,Bilaspur,00157,Namhol,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,031,Solan,00158,Arki,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,031,Solan,00159,Darlaghat,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,031,Solan,00160,Ramshahr,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,031,Solan,00161,Nalagarh,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,031,Solan,00162,Baddi,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,031,Solan,00163,Krishangarh,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,031,Solan,00164,Kasauli,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,031,Solan,00165,Solan,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,031,Solan,00166,Kandaghat,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,032,Sirmaur,00167,Rajgarh,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,032,Sirmaur,00168,Nohra,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,032,Sirmaur,00169,Pachhad,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,032,Sirmaur,00170,Renuka,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,032,Sirmaur,00171,Dadahu,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,032,Sirmaur,00172,Nahan,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,032,Sirmaur,00173,Paonta Sahib,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,032,Sirmaur,00174,Kamrau,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,032,Sirmaur,00175,Shalai,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,032,Sirmaur,00176,Ronhat,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00177,Rampur,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00178,Nankhari,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00179,Kumharsain,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00180,Seoni,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00181,Shimla ( Rural ),Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00182,Shimla (urban),Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00183,Junga,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00184,Theog,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00185,Chaupal,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00186,Cheta,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00187,Nerua,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00188,Jubbal,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00189,Kotkhai,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00190,Tikar,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00191,Rohru,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00192,Chirgaon,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,033,Shimla,00193,Dodra Kwar,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,034,Kinnaur,00194,Hangrang,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,034,Kinnaur,00195,Poo,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,034,Kinnaur,00196,Morang,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,034,Kinnaur,00197,Kalpa,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,034,Kinnaur,00198,Nichar,Rdir_2011_02_HIMACHAL_PRADESH.xls
02,HIMACHAL PRADESH,034,Kinnaur,00199,Sangla,Rdir_2011_02_HIMACHAL_PRADESH.xls
03,PUNJAB,035,Gurdaspur,00200,Dhar Kalan,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,035,Gurdaspur,00201,Pathankot,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,035,Gurdaspur,00202,Gurdaspur,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,035,Gurdaspur,00203,Batala,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,035,Gurdaspur,00204,Dera Baba Nanak,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,036,Kapurthala,00205,Bhulath,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,036,Kapurthala,00206,Kapurthala,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,036,Kapurthala,00207,Sultanpur Lodhi,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,036,Kapurthala,00208,Phagwara,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,037,Jalandhar,00209,Shahkot,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,037,Jalandhar,00210,Nakodar,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,037,Jalandhar,00211,Phillaur,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,037,Jalandhar,00212,Jalandhar - I,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,037,Jalandhar,00213,Jalandhar - II,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,038,Hoshiarpur,00214,Dasua,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,038,Hoshiarpur,00215,Mukerian,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,038,Hoshiarpur,00216,Hoshiarpur,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,038,Hoshiarpur,00217,Garhshankar,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,039,Shahid Bhagat Singh Nagar,00218,Nawanshahr,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,039,Shahid Bhagat Singh Nagar,00219,Balachaur,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,040,Fatehgarh Sahib,00220,Bassi Pathana,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,040,Fatehgarh Sahib,00221,Fatehgarh Sahib,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,040,Fatehgarh Sahib,00222,Amloh,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,040,Fatehgarh Sahib,00223,Khamanon,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,041,Ludhiana,00224,Samrala,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,041,Ludhiana,00225,Khanna,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,041,Ludhiana,00226,Payal,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,041,Ludhiana,00227,Ludhiana (East),Rdir_2011_03_PUNJAB.xls
03,PUNJAB,041,Ludhiana,00228,Ludhiana (West),Rdir_2011_03_PUNJAB.xls
03,PUNJAB,041,Ludhiana,00229,Raikot,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,041,Ludhiana,00230,Jagraon,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,042,Moga,00231,Nihal Singhwala,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,042,Moga,00232,Bagha Purana,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,042,Moga,00233,Moga,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,043,Firozpur,00234,Zira,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,043,Firozpur,00235,Firozpur,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,043,Firozpur,00236,Jalalabad,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,043,Firozpur,00237,Fazilka,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,043,Firozpur,00238,Abohar,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,044,Muktsar,00239,Malout,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,044,Muktsar,00240,Gidderbaha,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,044,Muktsar,00241,Muktsar,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,045,Faridkot,00242,Faridkot,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,045,Faridkot,00243,Jaitu,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,046,Bathinda,00244,Rampura Phul,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,046,Bathinda,00245,Bathinda,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,046,Bathinda,00246,Talwandi Sabo,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,047,Mansa,00247,Sardulgarh,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,047,Mansa,00248,Budhlada,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,047,Mansa,00249,Mansa,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,048,Patiala,00250,Samana,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,048,Patiala,00251,Patran,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,048,Patiala,00252,Nabha,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,048,Patiala,00253,Patiala,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,048,Patiala,00254,Rajpura,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,049,Amritsar,00255,Ajnala,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,049,Amritsar,00256,Amritsar -I,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,049,Amritsar,00257,Amritsar- II,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,049,Amritsar,00258,Baba Bakala,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,050,Tarn Taran,00259,Tarn Taran,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,050,Tarn Taran,00260,Patti,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,050,Tarn Taran,00261,Khadur Sahib,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,051,Rupnagar,00262,Anandpur Sahib,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,051,Rupnagar,00263,Nangal,Rdir_2011_03_PUNJAB.xls
03,PUNJAB,051,Rupnagar,00264,Rup Nagar,Rdir_2011_03_PUNJAB.xls
