MDDS STC,STATE NAME,MDDS DTC,DISTRICT NAME,MDDS Sub_DT,SUB-DISTRICT NAME,MDDS PLCN,Area Name,source_file,source_row_number,state_code,district_code,subdistrict_code,village_code,state_name,district_name,subdistrict_name,village_name_raw,village_name_display,village_name_normalized,row_type,has_og_marker,has_part_marker,has_rural_marker,has_ward_marker,has_double_space_raw,full_address,quality_flags,canonical_rank,duplicate_village_code_count,is_duplicate_village_code,is_canonical_village_code_row
6,HARYANA,74,Karnal,372.0,Karnal,59309,Phusgarh (Part) (2),Rdir_2011_06_HARYANA.xls,36034,06,074,00372,059309,HARYANA,Karnal,Karnal,Phusgarh (Part) (2),Phusgarh,PHUSGARH,VILLAGE,False,True,False,False,False,"Phusgarh, Karnal, Karnal, HARYANA, India",PART,5.19,2,True,True
6,HARYANA,74,Karnal,372.0,Karnal,59309,Phushgarh (Part) (OG),Rdir_2011_06_HARYANA.xls,36036,06,074,00372,059309,HARYANA,Karnal,Karnal,Phushgarh (Part) (OG),Phushgarh,PHUSHGARH,VILLAGE,True,True,False,False,False,"Phushgarh, Karnal, Karnal, HARYANA, India",OG|PART,15.21,2,True,False
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64480,2 e(RURAL),Rdir_2011_08_RAJASTHAN.xls,41068,08,099,00458,064480,RAJASTHAN,Ganganagar,Ganganagar,2 e(RURAL),2 e,2 E,VILLAGE,False,False,True,False,False,"2 e, Ganganagar, Ganganagar, RAJASTHAN, India",RURAL,4.1,2,True,True
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64480,2 e (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,41228,08,099,00458,064480,RAJASTHAN,Ganganagar,Ganganagar,2 e (OG) (Part),2 e,2 E,VILLAGE,True,True,False,False,False,"2 e, Ganganagar, Ganganagar, RAJASTHAN, India",OG|PART,15.15,2,True,False
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64481,6 e(RURAL),Rdir_2011_08_RAJASTHAN.xls,41069,08,099,00458,064481,RAJASTHAN,Ganganagar,Ganganagar,6 e(RURAL),6 e,6 E,VILLAGE,False,False,True,False,False,"6 e, Ganganagar, Ganganagar, RAJASTHAN, India",RURAL,4.1,2,True,True
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64481,6 e (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,41230,08,099,00458,064481,RAJASTHAN,Ganganagar,Ganganagar,6 e (OG) (Part),6 e,6 E,VILLAGE,True,True,False,False,False,"6 e, Ganganagar, Ganganagar, RAJASTHAN, India",OG|PART,15.15,2,True,False
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64511,7e (RURAL),Rdir_2011_08_RAJASTHAN.xls,41099,08,099,00458,064511,RAJASTHAN,Ganganagar,Ganganagar,7e (RURAL),7e,7E,VILLAGE,False,False,True,False,False,"7e, Ganganagar, Ganganagar, RAJASTHAN, India",RURAL,4.1,2,True,True
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64511,7 e (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,41231,08,099,00458,064511,RAJASTHAN,Ganganagar,Ganganagar,7 e (OG) (Part),7 e,7 E,VILLAGE,True,True,False,False,False,"7 e, Ganganagar, Ganganagar, RAJASTHAN, India",OG|PART,15.15,2,True,False
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64512,5e (RURAL),Rdir_2011_08_RAJASTHAN.xls,41100,08,099,00458,064512,RAJASTHAN,Ganganagar,Ganganagar,5e (RURAL),5e,5E,VILLAGE,False,False,True,False,False,"5e, Ganganagar, Ganganagar, RAJASTHAN, India",RURAL,4.1,2,True,True
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64512,5 e (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,41229,08,099,00458,064512,RAJASTHAN,Ganganagar,Ganganagar,5 e (OG) (Part),5 e,5 E,VILLAGE,True,True,False,False,False,"5 e, Ganganagar, Ganganagar, RAJASTHAN, India",OG|PART,15.15,2,True,False
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64513,2ML,Rdir_2011_08_RAJASTHAN.xls,41101,08,099,00458,064513,RAJASTHAN,Ganganagar,Ganganagar,2ML,2ML,2ML,VILLAGE,False,False,False,False,False,"2ML, Ganganagar, Ganganagar, RAJASTHAN, India",,0.03,2,True,True
8,RAJASTHAN,99,Ganganagar ,458.0,Ganganagar,64513,2 ML (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,41232,08,099,00458,064513,RAJASTHAN,Ganganagar,Ganganagar,2 ML (OG) (Part),2 ML,2 ML,VILLAGE,True,True,False,False,False,"2 ML, Ganganagar, Ganganagar, RAJASTHAN, India",OG|PART,15.16,2,True,False
8,RAJASTHAN,102,Churu,484.0,Churu,70519,Gajsar,Rdir_2011_08_RAJASTHAN.xls,47141,08,102,00484,070519,RAJASTHAN,Churu,Churu,Gajsar,Gajsar,GAJSAR,VILLAGE,False,False,False,False,False,"Gajsar, Churu, Churu, RAJASTHAN, India",,0.06,2,True,True
8,RAJASTHAN,102,Churu,484.0,Churu,70519,Gajsar (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,47195,08,102,00484,070519,RAJASTHAN,Churu,Churu,Gajsar (OG) (Part),Gajsar,GAJSAR,VILLAGE,True,True,False,False,False,"Gajsar, Churu, Churu, RAJASTHAN, India",OG|PART,15.18,2,True,False
8,RAJASTHAN,102,Churu,484.0,Churu,70547,Ramsara,Rdir_2011_08_RAJASTHAN.xls,47169,08,102,00484,070547,RAJASTHAN,Churu,Churu,Ramsara,Ramsara,RAMSARA,VILLAGE,False,False,False,False,False,"Ramsara, Churu, Churu, RAJASTHAN, India",,0.07,2,True,True
8,RAJASTHAN,102,Churu,484.0,Churu,70547,Ramsara (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,47196,08,102,00484,070547,RAJASTHAN,Churu,Churu,Ramsara (OG) (Part),Ramsara,RAMSARA,VILLAGE,True,True,False,False,False,"Ramsara, Churu, Churu, RAJASTHAN, India",OG|PART,15.19,2,True,False
8,RAJASTHAN,105,Bharatpur,511.0,Bharatpur,74722,Jagheena ( Rural ),Rdir_2011_08_RAJASTHAN.xls,51376,08,105,00511,074722,RAJASTHAN,Bharatpur,Bharatpur,Jagheena ( Rural ),Jagheena ( Rural ),JAGHEENA RURAL,VILLAGE,False,False,True,False,False,"Jagheena ( Rural ), Bharatpur, Bharatpur, RAJASTHAN, India",RURAL,4.18,2,True,True
8,RAJASTHAN,105,Bharatpur,511.0,Bharatpur,74722,Jagheena Rural (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,51503,08,105,00511,074722,RAJASTHAN,Bharatpur,Bharatpur,Jagheena Rural (OG) (Part),Jagheena Rural,JAGHEENA RURAL,VILLAGE,True,True,True,False,False,"Jagheena Rural, Bharatpur, Bharatpur, RAJASTHAN, India",OG|PART|RURAL,19.26,2,True,False
8,RAJASTHAN,105,Bharatpur,511.0,Bharatpur,74723,BHAWANPURA,Rdir_2011_08_RAJASTHAN.xls,51377,08,105,00511,074723,RAJASTHAN,Bharatpur,Bharatpur,BHAWANPURA,BHAWANPURA,BHAWANPURA,VILLAGE,False,False,False,False,False,"BHAWANPURA, Bharatpur, Bharatpur, RAJASTHAN, India",,0.1,2,True,True
8,RAJASTHAN,105,Bharatpur,511.0,Bharatpur,74723,Bhawanpura (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,51505,08,105,00511,074723,RAJASTHAN,Bharatpur,Bharatpur,Bhawanpura (OG) (Part),Bhawanpura,BHAWANPURA,VILLAGE,True,True,False,False,False,"Bhawanpura, Bharatpur, Bharatpur, RAJASTHAN, India",OG|PART,15.22,2,True,False
8,RAJASTHAN,105,Bharatpur,511.0,Bharatpur,74779,Jatoli Ghana ( Rural ),Rdir_2011_08_RAJASTHAN.xls,51433,08,105,00511,074779,RAJASTHAN,Bharatpur,Bharatpur,Jatoli Ghana ( Rural ),Jatoli Ghana ( Rural ),JATOLI GHANA RURAL,VILLAGE,False,False,True,False,False,"Jatoli Ghana ( Rural ), Bharatpur, Bharatpur, RAJASTHAN, India",RURAL,4.22,2,True,True
8,RAJASTHAN,105,Bharatpur,511.0,Bharatpur,74779,Jatoli Ghana (Rural) (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,51504,08,105,00511,074779,RAJASTHAN,Bharatpur,Bharatpur,Jatoli Ghana (Rural) (OG) (Part),Jatoli Ghana,JATOLI GHANA,VILLAGE,True,True,True,False,False,"Jatoli Ghana, Bharatpur, Bharatpur, RAJASTHAN, India",OG|PART|RURAL,19.32,2,True,False
8,RAJASTHAN,110,Jaipur,542.0,Phulera (Hq.Sambhar),79634,Dayal Nagar,Rdir_2011_08_RAJASTHAN.xls,56327,08,110,00542,079634,RAJASTHAN,Jaipur,Phulera (Hq.Sambhar),Dayal Nagar,Dayal Nagar,DAYAL NAGAR,VILLAGE,False,False,False,False,False,"Dayal Nagar, Phulera (Hq.Sambhar), Jaipur, RAJASTHAN, India",,0.11,2,True,True
8,RAJASTHAN,110,Jaipur,542.0,Phulera (Hq.Sambhar),79634,Dayal Nagar (OG) (Part),Rdir_2011_08_RAJASTHAN.xls,56392,08,110,00542,079634,RAJASTHAN,Jaipur,Phulera (Hq.Sambhar),Dayal Nagar (OG) (Part),Dayal Nagar,DAYAL NAGAR,VILLAGE,True,True,False,False,False,"Dayal Nagar, Phulera (Hq.Sambhar), Jaipur, RAJASTHAN, India",OG|PART,15.23,2,True,False
